observable,e,value,derivative,abs_sensitivity,relative_condition_number,delta_e_for_1pct_relative_noise
width_residue,0.004540909611,0.9999896900168045,-0.004540956428184466,0.004540956428184466,2.062028528266982e-05,2.202156540877917
width_residue,0.004849693429,0.9999882401676755,-0.00484975046125224,0.00484975046125224,2.3520079536416317e-05,2.06193751236733
width_residue,0.005179474679,0.9999865864310629,-0.005179544155172589,0.005179544155172589,2.6827677655382525e-05,1.930645934222646
width_residue,0.005531681198,0.9999847001345189,-0.0055317658332731225,0.0055317658332731225,3.0600433234167886e-05,1.8077133600263628
width_residue,0.005907837912,0.9999825485733266,-0.005907941013999396,0.005907941013999396,3.4903767024896215e-05,1.692607536540697
width_residue,0.006309573445,0.9999800944433554,-0.006309699043071712,0.006309699043071712,3.981230201414008e-05,1.584830096676911
width_residue,0.006738627168,0.9999772951941912,-0.0067387801706951635,0.0067387801706951635,4.5411158188954336e-05,1.4839144027027
width_residue,0.00719685673,0.9999741022912583,-0.007197043116926444,0.007197043116926444,5.179742962689831e-05,1.3894235258080618
width_residue,0.0076862461,0.9999704603741504,-0.007686473155541118,0.007686473155541118,5.908186957085424e-05,1.3009483545171554
width_residue,0.00820891416,0.999966306296524,-0.00820919075803918,0.00820919075803918,6.739081290187589e-05,1.2181058228148334
width_residue,0.008767123873,0.9999615680309896,-0.00876746082378268,0.00876746082378268,7.686836929656408e-05,1.140537252608516
width_residue,0.009363292088,0.9999561634198145,-0.009363702560698135,0.009363702560698135,8.767892564522481e-05,1.067906799621004
width_residue,0.01,0.9999499987499375,-0.010000500037503125,0.010000500037503125,0.0001000100010001,0.9999000000000001
width_residue,0.0130625,0.9999146819072865,-0.013063614562678431,0.013063614562678431,0.00017065802544222398,0.7654196142344497
width_residue,0.016125,0.9998699837353855,-0.016127096784883048,0.016127096784883048,0.00026008325070898513,0.6199937887596899
width_residue,0.0191875,0.9998159029760179,-0.019191033012064665,0.019191033012064665,0.00036829574807015577,0.520980763436482
width_residue,0.02225,0.9997524381065545,-0.022255509616100157,0.022255509616100157,0.0004953077082723266,0.44921570224719104
width_residue,0.0253125,0.9996795873397386,-0.025320613044985195,0.025320613044985195,0.0006411334449738744,0.39480860339506174
width_residue,0.028375,0.9995973486234344,-0.028386429835048865,0.028386429835048865,0.0008057893987801524,0.3521391574889867
width_residue,0.0314375,0.9995057196403381,-0.031453046623197374,0.031453046623197374,0.0009892941418810277,0.3177770762922466
width_residue,0.0345,0.99940469780765,-0.0345205501591909,0.0345205501591909,0.001191668383293215,0.28951007246376814
width_residue,0.0375625,0.9992942802767111,-0.037589027317957525,0.037589027317957525,0.0014129349747101572,0.26584733673044925
width_residue,0.040625,0.9991744639326007,-0.04065856511194862,0.04065856511194862,0.0016531189169625654,0.24574759615384614
width_residue,0.0436875,0.9990452453936959,-0.04372925070353943,0.04372925070353943,0.001912247367093004,0.22846155132331902
width_residue,0.04675,0.9989066210111934,-0.04680117141747941,0.04680117141747941,0.0021903496460482915,0.21343624331550803
width_residue,0.0498125,0.9987585868685935,-0.04987441475339608,0.04987441475339608,0.0024874572469937724,0.20025469808657462
width_residue,0.052875,0.9986011387811452,-0.05294906839835695,0.05294906839835695,0.002803603844253882,0.18859654550827426
width_residue,0.0559375,0.9984342722952523,-0.05602522023949357,0.05602522023949357,0.00313882530288376,0.1782115747206704
width_residue,0.059,0.998257982687842,-0.059102958376691946,0.059102958376691946,0.0034931596888769807,0.16890152542372883
width_residue,0.0620625,0.9980722649656938,-0.06218237113535385,0.06218237113535385,0.003866647280014888,0.1605072702668681
width_residue,0.065125,0.9978771138647283,-0.06526354707923315,0.06526354707923315,0.004259330577363283,0.15289961372360844
width_residue,0.0681875,0.9976725238492589,-0.06834657502335169,0.06834657502335169,0.004671254317422641,0.1459725704628781
width_residue,0.07125,0.997458489111201,-0.07143154404699917,0.07143154404699917,0.0051024654849383825,0.13963837719298247
width_residue,0.0743125,0.9972350035692439,-0.07451854350682151,0.07451854350682151,0.00555301332637805,0.1338237379100084
width_residue,0.077375,0.9970020608679804,-0.07760766305000219,0.07760766305000219,0.006022949364082675,0.12846696082390954
