dataset,e,a,pc1,pc2,isomap1
scale_overlay,0.3,1.0,-2.1864990082174884,-0.13919656428318739,nan
scale_overlay,0.3,1.5,-2.1864990082174884,-0.1391965642831856,nan
scale_overlay,0.3,2.5,-2.1864990082174884,-0.13919656428318739,nan
scale_overlay,0.3,4.0,-2.1864990082174884,-0.13919656428318739,nan
scale_overlay,0.325,0.75,-2.0910209478879835,-0.11741090314268465,nan
scale_overlay,0.325,1.0,-2.0910209478879196,-0.11741090314301061,nan
scale_overlay,0.325,1.5,-2.0910209478879835,-0.11741090314268465,nan
scale_overlay,0.325,2.5,-2.091020947887813,-0.11741090314354352,nan
scale_overlay,0.325,4.0,-2.0910209478879196,-0.11741090314301061,nan
scale_overlay,0.35,0.75,-1.9863739539115208,-0.09400349909648664,nan
scale_overlay,0.35,1.0,-1.9863739539115208,-0.09400349909648664,nan
scale_overlay,0.35,1.5,-1.9863739539115208,-0.09400349909648664,nan
scale_overlay,0.35,2.5,-1.9863739539115208,-0.09400349909648664,nan
scale_overlay,0.35,4.0,-1.9863739539115208,-0.09400349909648664,nan
scale_overlay,0.375,0.75,-1.8721456036298108,-0.06901792283928554,nan
scale_overlay,0.375,1.0,-1.8721456036298108,-0.06901792283928554,nan
scale_overlay,0.375,1.5,-1.8721456036298108,-0.06901792283928554,nan
scale_overlay,0.375,2.5,-1.8721456036298108,-0.06901792283928554,nan
scale_overlay,0.375,4.0,-1.8721456036298108,-0.06901792283928554,nan
scale_overlay,0.4,0.75,-1.7478672730414502,-0.0425101935319514,nan
scale_overlay,0.4,1.0,-1.7478672730417912,-0.04251019353027363,nan
scale_overlay,0.4,1.5,-1.7478672730414502,-0.0425101935319514,nan
scale_overlay,0.4,2.5,-1.7478672730414502,-0.04251019353195229,nan
scale_overlay,0.4,4.0,-1.7478672730417912,-0.04251019353027363,nan
scale_overlay,0.425,0.75,-1.6130048839360214,-0.014550408849434149,nan
scale_overlay,0.425,1.0,-1.6130048839360214,-0.014550408849434149,nan
scale_overlay,0.425,1.5,-1.6130048839360214,-0.014550408849434149,nan
scale_overlay,0.425,2.5,-1.613004883936025,-0.01455040884943326,nan
scale_overlay,0.425,4.0,-1.6130048839360214,-0.014550408849434149,nan
scale_overlay,0.45,0.75,-1.4669516617116969,0.01477753356167355,nan
scale_overlay,0.45,1.0,-1.4669516617113612,0.014777533560052625,nan
scale_overlay,0.45,1.5,-1.4669516617116969,0.01477753356167355,nan
scale_overlay,0.45,2.5,-1.466951661711267,0.014777533559580114,nan
scale_overlay,0.45,4.0,-1.4669516617113612,0.014777533560052625,nan
scale_overlay,0.475,0.75,-1.3090145096514565,0.04536503720846863,nan
scale_overlay,0.475,1.0,-1.309014509651357,0.04536503720798368,nan
scale_overlay,0.475,1.5,-1.3090145096514565,0.04536503720846863,nan
scale_overlay,0.475,2.5,-1.309014509651357,0.04536503720798368,nan
scale_overlay,0.475,4.0,-1.309014509651357,0.04536503720798368,nan
scale_overlay,0.5,0.75,-1.1383995194184493,0.07707688964178327,nan
scale_overlay,0.5,1.0,-1.1383995194184493,0.07707688964178327,nan
scale_overlay,0.5,1.5,-1.1383995194184493,0.07707688964178327,nan
scale_overlay,0.5,2.5,-1.1383995194184475,0.07707688964178239,nan
scale_overlay,0.5,4.0,-1.1383995194184493,0.07707688964178327,nan
scale_overlay,0.525,0.75,-0.9541948224469916,0.10974653506869103,nan
scale_overlay,0.525,1.0,-0.9541948224472705,0.10974653507003396,nan
scale_overlay,0.525,1.5,-0.9541948224469916,0.10974653506869103,nan
scale_overlay,0.525,2.5,-0.9541948224468761,0.10974653506813681,nan
scale_overlay,0.525,4.0,-0.9541948224472705,0.10974653507003396,nan
scale_overlay,0.55,0.75,-0.7553470877918969,0.14315612816046563,nan
scale_overlay,0.55,1.0,-0.7553470877918951,0.1431561281604692,nan
scale_overlay,0.55,1.5,-0.7553470877918969,0.14315612816046563,nan
scale_overlay,0.55,2.5,-0.7553470877918951,0.1431561281604683,nan
scale_overlay,0.55,4.0,-0.7553470877918951,0.1431561281604692,nan
scale_overlay,0.575,0.75,-0.5406361238691861,0.17704444360486526,nan
scale_overlay,0.575,1.0,-0.5406361238690423,0.1770444436041867,nan
scale_overlay,0.575,1.5,-0.5406361238691861,0.17704444360486526,nan
scale_overlay,0.575,2.5,-0.5406361238690423,0.1770444436041858,nan
scale_overlay,0.575,4.0,-0.5406361238690423,0.1770444436041867,nan
scale_overlay,0.6,0.75,-0.30863358430026544,0.21106501587882587,nan
scale_overlay,0.6,1.0,-0.30863358430026366,0.21106501587882764,nan
scale_overlay,0.6,1.5,-0.30863358430026544,0.21106501587882587,nan
scale_overlay,0.6,2.5,-0.30863358430026366,0.21106501587882764,nan
scale_overlay,0.6,4.0,-0.30863358430026366,0.21106501587882764,nan
scale_overlay,0.625,0.75,-0.057661747069298386,0.2447875564736286,nan
scale_overlay,0.625,1.0,-0.05766174706929661,0.2447875564736286,nan
scale_overlay,0.625,1.5,-0.057661747069298386,0.2447875564736286,nan
scale_overlay,0.625,2.5,-0.057661747069298386,0.24478755647362682,nan
scale_overlay,0.625,4.0,-0.05766174706929661,0.2447875564736286,nan
scale_overlay,0.65,0.75,0.21427466826842156,0.2776415401778287,nan
scale_overlay,0.65,1.0,0.21427466826827946,0.27764154017845755,nan
scale_overlay,0.65,1.5,0.21427466826842156,0.2776415401778287,nan
scale_overlay,0.65,2.5,0.2142746682684198,0.27764154017782783,nan
scale_overlay,0.65,4.0,0.21427466826827946,0.27764154017845755,nan
scale_overlay,0.675,0.75,0.509563645494012,0.3089020320577127,nan
scale_overlay,0.675,1.0,0.5095636454940724,0.3089020320574347,nan
scale_overlay,0.675,1.5,0.509563645494012,0.3089020320577127,nan
scale_overlay,0.675,2.5,0.5095636454940724,0.3089020320574347,nan
scale_overlay,0.675,4.0,0.5095636454940724,0.3089020320574347,nan
scale_overlay,0.7,0.75,0.8311066720557996,0.33758827631471355,nan
scale_overlay,0.7,1.0,0.8311066720558031,0.33758827631471444,nan
scale_overlay,0.7,1.5,0.8311066720557996,0.33758827631471355,nan
scale_overlay,0.7,2.5,0.8311066720558014,0.33758827631471355,nan
scale_overlay,0.7,4.0,0.8311066720558031,0.33758827631471444,nan
scale_overlay,0.725,0.75,1.182467880154908,0.36242559332706037,nan
scale_overlay,0.725,1.0,1.1824678801549098,0.3624255933270595,nan
scale_overlay,0.725,1.5,1.182467880154908,0.36242559332706037,nan
scale_overlay,0.725,2.5,1.1824678801549098,0.36242559332706215,nan
scale_overlay,0.725,4.0,1.1824678801549098,0.3624255933270595,nan
scale_overlay,0.75,0.75,1.5681025225071785,0.38165526320837895,nan
scale_overlay,0.75,1.0,1.5681025225071767,0.3816552632083763,nan
scale_overlay,0.75,1.5,1.5681025225071785,0.38165526320837895,nan
scale_overlay,0.75,2.5,1.5681025225071785,0.3816552632083763,nan
scale_overlay,0.75,4.0,1.5681025225071767,0.3816552632083763,nan
scale_overlay,0.775,0.75,1.9936858487536302,0.3928567793802449,nan
scale_overlay,0.775,1.0,1.9936858487530333,0.39285677938271046,nan
scale_overlay,0.775,1.5,1.9936858487536302,0.3928567793802449,nan
scale_overlay,0.775,2.5,1.9936858487536302,0.3928567793802449,nan
scale_overlay,0.775,4.0,1.9936858487530333,0.39285677938271046,nan
scale_overlay,0.8,0.75,2.4666196642019855,0.3926029446551098,nan
scale_overlay,0.8,1.0,2.4666196642019216,0.39260294465538603,nan
