e,w,a1,a2,mean_collapse_error,max_collapse_error
0.35,0.6,2.5,4.0,1.9036227879892226e-15,9.451415399428094e-15
0.35,0.7,0.75,1.0,1.4901205228733573e-08,1.4915372040637707e-08
0.35,0.7,0.75,1.5,0.0,0.0
0.35,0.7,0.75,2.5,1.8856498807880135e-15,7.800106902289756e-15
0.35,0.7,0.75,4.0,1.4901205228733573e-08,1.4915372040637707e-08
0.35,0.7,1.0,1.5,1.4901205228733573e-08,1.4915372040637707e-08
0.35,0.7,1.0,2.5,1.4901203648119215e-08,1.4915372110107263e-08
0.35,0.7,1.0,4.0,0.0,0.0
0.35,0.7,1.5,2.5,1.8856498807880135e-15,7.800106902289756e-15
0.35,0.7,1.5,4.0,1.4901205228733573e-08,1.4915372040637707e-08
0.35,0.7,2.5,4.0,1.4901203648119215e-08,1.4915372110107263e-08
0.4,0.3,0.75,1.0,7.348842628495559e-09,7.36020211019967e-09
0.4,0.3,0.75,1.5,0.0,0.0
0.4,0.3,0.75,2.5,1.647416650029207e-08,1.653624387646493e-08
0.4,0.3,0.75,4.0,7.348842628495559e-09,7.36020211019967e-09
0.4,0.3,1.0,1.5,7.348842628495559e-09,7.36020211019967e-09
0.4,0.3,1.0,2.5,9.125369694730272e-09,9.181929755379646e-09
0.4,0.3,1.0,4.0,0.0,0.0
0.4,0.3,1.5,2.5,1.647416650029207e-08,1.653624387646493e-08
0.4,0.3,1.5,4.0,7.348842628495559e-09,7.36020211019967e-09
0.4,0.3,2.5,4.0,9.125369694730272e-09,9.181929755379646e-09
0.4,0.4,0.75,1.0,3.6896462763749535e-12,1.8573811099070993e-10
0.4,0.4,0.75,1.5,0.0,0.0
0.4,0.4,0.75,2.5,1.475651175815017e-11,7.429520617023139e-10
0.4,0.4,0.75,4.0,3.6896462763749535e-12,1.8573811099070993e-10
0.4,0.4,1.0,1.5,3.6896462763749535e-12,1.8573811099070993e-10
0.4,0.4,1.0,2.5,1.1066866444293468e-11,5.57213989276381e-10
0.4,0.4,1.0,4.0,0.0,0.0
0.4,0.4,1.5,2.5,1.475651175815017e-11,7.429520617023139e-10
0.4,0.4,1.5,4.0,3.6896462763749535e-12,1.8573811099070993e-10
0.4,0.4,2.5,4.0,1.1066866444293468e-11,5.57213989276381e-10
0.4,0.5,0.75,1.0,5.614801426807439e-09,5.6318058995544505e-09
0.4,0.5,0.75,1.5,0.0,0.0
0.4,0.5,0.75,2.5,2.5327281028935254e-08,2.5365151477814132e-08
0.4,0.5,0.75,4.0,5.614801426807439e-09,5.6318058995544505e-09
0.4,0.5,1.0,1.5,5.614801426807439e-09,5.6318058995544505e-09
0.4,0.5,1.0,2.5,1.97124915031674e-08,1.973511083666538e-08
0.4,0.5,1.0,4.0,0.0,0.0
