split,observation_seed,condition,geometry_skew_bin,true_alpha,true_t,true_rotation_shift,mean_candidate_count,mean_alpha_log_span_set,mean_geometry_span_norm_set,mean_ambiguity_ratio,alpha_bank_log_span,best_geometry_bank_span_norm,consensus_geometry_bank_span_norm,best_geometry_mae_mean,consensus_geometry_mae_mean,geometry_mae_gain,geometry_bank_span_gain,consensus_beats_best_flag,consensus_tighter_flag
calibration,20260418,sparse_full_noisy,mid_skew,1.2669206668244894,0.35992966721599756,52,1.8,0.2167351479466566,0.07232607266921853,1.9616687699586186,0.5395119875265447,0.4288506260900715,0.43994887441551317,0.05209054227493228,0.0566404796085173,-0.004549937333585018,-0.01109824832544165,0,0
calibration,20260418,sparse_full_noisy,high_skew,0.8130490064634044,0.4964261640515543,13,32.4,0.5179869468213749,0.7291546558904417,0.7199737655705019,0.41197816104360296,0.406669868837974,0.08934841104264539,0.08558942060899696,0.08582521825146108,-0.0002357976424641195,0.3173214577953286,0,1
calibration,20260418,sparse_partial_high_noise,low_skew,1.1668612367248918,-0.14594916659893772,41,63.6,0.2780541861522917,0.8901399029574047,0.31337963894002174,0.019312156556158554,0.7711150238507346,0.09379610441192936,0.09577169078992441,0.08683074160419911,0.0089409491857253,0.6773189194388053,1,1
calibration,20260418,sparse_partial_high_noise,mid_skew,0.8927899215802785,0.31239828831979416,15,79.0,0.40485976422072234,0.908629744878238,0.44637390079595407,0.0319187398053562,0.3351188204235611,0.03804385281288942,0.056724985619512946,0.03979728462854759,0.016927700990965355,0.2970749676106717,1,1
calibration,20260418,sparse_partial_high_noise,high_skew,1.1985688418340448,0.4633307896967259,24,104.2,0.6006100623526038,0.9179350204434957,0.6548741765900983,0.046540059088622104,0.3474679498829114,0.060837001527203886,0.14578562025466799,0.07572001520266321,0.07006560505200478,0.2866309483557075,1,1
holdout,20260422,sparse_full_noisy,low_skew,0.8454209249936677,0.16946780190594682,35,34.6,0.3993542335701358,0.777503989402197,0.5177702762466074,0.3064288671857942,0.681903680829329,0.0854464938948622,0.076910966456199,0.09290831462306305,-0.015997348166864045,0.5964571869344668,0,1
holdout,20260422,sparse_full_noisy,mid_skew,1.1375779426247343,-0.4219389980466032,15,39.0,0.36834399235910653,0.8351315178039831,0.4415973438631882,0.2907176211052672,0.37562795339028837,0.06073435515749465,0.051434022692430914,0.02253396458007129,0.028900058112359624,0.3148935982327937,1,1
holdout,20260422,sparse_full_noisy,high_skew,0.8791076466259337,0.6874423450019049,63,9.8,0.2792992317204471,0.6094126447942695,0.46839719572083016,0.23371718416844084,0.5414266006992933,0.1572332682858226,0.06570303113334204,0.050935866965670186,0.014767164167671855,0.38419333241347065,1,1
holdout,20260422,sparse_partial_high_noise,low_skew,0.881734382249758,0.17784105610841,54,56.8,0.26184963941405737,0.8639022515214432,0.3030607228365005,0.021816271556068995,0.3889852715031156,0.06636166301713403,0.06992137622328566,0.1135208762086242,-0.04359949998533853,0.3226236084859816,0,1
holdout,20260422,sparse_partial_high_noise,mid_skew,1.193340098604452,-0.28236615286284156,37,70.8,0.33059219058464134,0.9015431783130541,0.3672161293659498,0.11550601167523154,0.5362882507273737,0.09153488620359795,0.10624204055023759,0.10901571882222856,-0.002773678271990973,0.4447533645237758,0,1
holdout,20260422,sparse_partial_high_noise,high_skew,0.8058417417559449,-0.5118742378742865,56,108.8,0.516858257626248,0.9158486503226267,0.5653692766890297,0.3275829516986462,0.8276881948981152,0.05168072567596371,0.11591386597831735,0.06967233673347199,0.046241529244845356,0.7760074692221515,1,1
holdout,20260423,sparse_full_noisy,low_skew,1.1624723636075858,-0.1594309746744751,38,15.8,0.3879305486032044,0.7132180943711048,0.5502972390960897,0.33716146238624234,0.5295024716926436,0.0960233729088368,0.10748559902000328,0.058144428176562256,0.04934117084344102,0.43347909878380686,1,1
holdout,20260423,sparse_full_noisy,mid_skew,0.7901616811706246,-0.36926069541729967,39,29.2,0.6288999338073177,0.7907994701204137,0.7952300928840141,0.5539168778037842,0.4128017218840852,0.10930125865549184,0.11245178316262665,0.0822284898940214,0.030223293268605247,0.30350046322859336,1,1
holdout,20260423,sparse_full_noisy,high_skew,0.8688163105521297,-0.5257667371670004,28,11.4,0.4130929627654509,0.5579127112436792,0.7610851402368819,0.3609290665237666,0.43177528772062984,0.21234723210903014,0.06225314863581418,0.03738463978006517,0.02486850885574901,0.2194280556115997,1,1
holdout,20260423,sparse_partial_high_noise,low_skew,1.284002752037176,0.09283757178881881,29,107.6,0.6624193071211382,0.894669016299224,0.7418365386638317,0.4557085879986672,0.8343584613819691,0.07110819420388723,0.12514461387210446,0.04814081492082825,0.07700379895127621,0.7632502671780819,1,1
