condition,true_e,replicate,pilot_perimeter_estimate,perimeter_estimate,width_estimate,major_tip_estimate,pilot_abs_error,perimeter_abs_error,width_abs_error,major_tip_abs_error
dense_low_noise,0.05,24,0.09833348917733956,3.9443045221607546e-31,0.07133942723900122,0.48269656994901444,0.04833348917733955,0.05,0.021339427239001216,0.43269656994901445
dense_low_noise,0.05,25,0.053858221128643385,3.9443045221607546e-31,0.08257444493393443,0.4336368431387744,0.0038582211286433826,0.05,0.032574444933934424,0.3836368431387744
dense_low_noise,0.05,26,3.9443045221607546e-31,0.05047389697025953,0.0,0.4910057569953514,0.05,0.00047389697025952693,0.05,0.4410057569953514
dense_low_noise,0.05,27,0.054914337395694346,0.04583225879683234,0.1031056151849093,0.47420585376337626,0.004914337395694343,0.004167741203167666,0.05310561518490929,0.4242058537633763
dense_low_noise,0.05,28,0.07571459490442281,0.08497390278785141,0.05148112128818881,0.39686808093510995,0.025714594904422808,0.03497390278785141,0.001481121288188808,0.34686808093510996
dense_low_noise,0.05,29,0.030032119779671296,0.03377562799193755,0.06608514120976028,0.4160775543218238,0.019967880220328707,0.016224372008062454,0.016085141209760276,0.3660775543218238
dense_low_noise,0.05,30,0.1024151605600164,3.9443045221607546e-31,0.0,0.44300496938829265,0.0524151605600164,0.05,0.05,0.39300496938829266
dense_low_noise,0.05,31,0.10624542140879167,0.06307497584969579,0.03626761626616114,0.42485511683431026,0.05624542140879167,0.013074975849695789,0.013732383733838865,0.3748551168343103
dense_low_noise,0.05,32,0.09873391292293529,3.9443045221607546e-31,0.0,0.4908803009700174,0.04873391292293529,0.05,0.05,0.4408803009700174
dense_low_noise,0.05,33,0.09511753564566064,0.02697455292238532,0.07788026045546852,0.4405876526707074,0.045117535645660636,0.023025447077614683,0.027880260455468514,0.3905876526707074
dense_low_noise,0.05,34,0.1086780800862733,3.9443045221607546e-31,0.018385673522494584,0.44926842321586985,0.0586780800862733,0.05,0.03161432647750542,0.39926842321586986
dense_low_noise,0.05,35,0.06952691268992597,0.04088349195443948,0.0,0.4802162991700213,0.01952691268992597,0.009116508045560523,0.05,0.4302162991700213
dense_low_noise,0.05,36,0.0778835376119267,0.0726295826914754,0.040174685490120064,0.49816271675095775,0.027883537611926704,0.0226295826914754,0.009825314509879939,0.44816271675095776
dense_low_noise,0.05,37,0.07584522017537221,0.0625231693262138,0.06259880827812986,0.4117078012394137,0.025845220175372205,0.012523169326213793,0.012598808278129855,0.3617078012394137
dense_low_noise,0.05,38,0.0758358659652047,3.9443045221607546e-31,0.06705941456710587,0.4235772037591133,0.025835865965204693,0.05,0.01705941456710587,0.3735772037591133
dense_low_noise,0.05,39,0.08639459929189164,0.010258692445732277,0.0,0.4210266649416313,0.036394599291891636,0.039741307554267725,0.05,0.37102666494163133
dense_low_noise,0.05,40,0.10805530422528226,0.05272802601738531,0.06788293157524192,0.4562880303490487,0.05805530422528225,0.00272802601738531,0.017882931575241914,0.4062880303490487
dense_low_noise,0.05,41,3.9443045221607546e-31,3.9443045221607546e-31,0.07796045680265487,0.3555394020702267,0.05,0.05,0.027960456802654868,0.30553940207022673
dense_low_noise,0.05,42,0.04094883395284077,0.04517375405978516,0.04076023925091551,0.48457319466086424,0.009051166047159234,0.004826245940214843,0.009239760749084495,0.43457319466086425
dense_low_noise,0.05,43,0.0722149190061854,3.9443045221607546e-31,0.05883461818390402,0.463701202187965,0.0222149190061854,0.05,0.00883461818390402,0.413701202187965
dense_low_noise,0.05,44,0.06896255939399151,0.04332477567737614,0.06195973471219163,0.4687159193538706,0.01896255939399151,0.0066752243226238656,0.011959734712191625,0.4187159193538706
dense_low_noise,0.05,45,0.034290159179140606,0.06056449899872368,0.0,0.4400985351326502,0.015709840820859397,0.010564498998723679,0.05,0.3900985351326502
dense_low_noise,0.05,46,0.0693896609032601,0.04006697816887857,0.06457460421223851,0.47494931339689295,0.019389660903260095,0.009933021831121436,0.01457460421223851,0.42494931339689296
dense_low_noise,0.05,47,0.05531871949967433,0.07094691402443276,0.046018549087506556,0.4504568816317284,0.005318719499674329,0.02094691402443276,0.003981450912493446,0.40045688163172843
dense_low_noise,0.05,48,0.08263377322859797,3.9443045221607546e-31,0.0,0.4290789280255963,0.032633773228597965,0.05,0.05,0.3790789280255963
dense_low_noise,0.05,49,0.09862509998184132,3.9443045221607546e-31,0.055613817656692724,0.4345971741650884,0.04862509998184132,0.05,0.005613817656692721,0.38459717416508843
