e,alpha,a1,a2,mean_collapse_error,max_collapse_error
0.3,0.5,2.5,4.0,6.512175682714346e-16,1.2391426920181328e-14
0.3,0.75,0.75,1.0,4.998248752062306e-16,1.2161662185947094e-14
0.3,0.75,0.75,1.5,0.0,0.0
0.3,0.75,0.75,2.5,4.1427732240054967e-16,8.114175317234773e-15
0.3,0.75,0.75,4.0,4.998248752062306e-16,1.2161662185947094e-14
0.3,0.75,1.0,1.5,4.998248752062306e-16,1.2161662185947094e-14
0.3,0.75,1.0,2.5,5.003546130999908e-16,8.275921921288956e-15
0.3,0.75,1.0,4.0,0.0,0.0
0.3,0.75,1.5,2.5,4.1427732240054967e-16,8.114175317234773e-15
0.3,0.75,1.5,4.0,4.998248752062306e-16,1.2161662185947094e-14
0.3,0.75,2.5,4.0,5.003546130999908e-16,8.275921921288956e-15
0.3,1.0,0.75,1.0,4.211995452225621e-16,9.14705197099063e-15
0.3,1.0,0.75,1.5,0.0,0.0
0.3,1.0,0.75,2.5,3.495433293315561e-16,6.127950885545863e-15
0.3,1.0,0.75,4.0,4.211995452225621e-16,9.14705197099063e-15
0.3,1.0,1.0,1.5,4.211995452225621e-16,9.14705197099063e-15
0.3,1.0,1.0,2.5,4.210370634492594e-16,6.214336398431863e-15
0.3,1.0,1.0,4.0,0.0,0.0
0.3,1.0,1.5,2.5,3.495433293315561e-16,6.127950885545863e-15
0.3,1.0,1.5,4.0,4.211995452225621e-16,9.14705197099063e-15
0.3,1.0,2.5,4.0,4.210370634492594e-16,6.214336398431863e-15
0.3,1.5,0.75,1.0,3.48444223157239e-16,6.12928645603953e-15
0.3,1.5,0.75,1.5,0.0,0.0
0.3,1.5,0.75,2.5,2.930024465692332e-16,4.112534375859415e-15
0.3,1.5,0.75,4.0,3.48444223157239e-16,6.12928645603953e-15
0.3,1.5,1.0,1.5,3.48444223157239e-16,6.12928645603953e-15
0.3,1.5,1.0,2.5,3.552397710922045e-16,4.1657931423852815e-15
0.3,1.5,1.0,4.0,0.0,0.0
0.3,1.5,1.5,2.5,2.930024465692332e-16,4.112534375859415e-15
0.3,1.5,1.5,4.0,3.48444223157239e-16,6.12928645603953e-15
0.3,1.5,2.5,4.0,3.552397710922045e-16,4.1657931423852815e-15
0.3,2.0,0.75,1.0,3.152445757384231e-16,4.637756528637165e-15
0.3,2.0,0.75,1.5,0.0,0.0
0.3,2.0,0.75,2.5,2.6678526521980126e-16,3.1370247427834324e-15
0.3,2.0,0.75,4.0,3.152445757384231e-16,4.637756528637165e-15
0.3,2.0,1.0,1.5,3.152445757384231e-16,4.637756528637165e-15
0.3,2.0,1.0,2.5,3.2295908947968667e-16,3.144138325765144e-15
0.3,2.0,1.0,4.0,0.0,0.0
0.3,2.0,1.5,2.5,2.6678526521980126e-16,3.1370247427834324e-15
0.3,2.0,1.5,4.0,3.152445757384231e-16,4.637756528637165e-15
0.3,2.0,2.5,4.0,3.2295908947968667e-16,3.144138325765144e-15
0.35,0.5,0.75,1.0,5.586326244364282e-16,1.797020805375345e-14
0.35,0.5,0.75,1.5,0.0,0.0
0.35,0.5,0.75,2.5,5.312492706067514e-16,9.81025129326275e-15
0.35,0.5,0.75,4.0,5.586326244364282e-16,1.797020805375345e-14
0.35,0.5,1.0,1.5,5.586326244364282e-16,1.797020805375345e-14
0.35,0.5,1.0,2.5,6.516073348221217e-16,1.4975078350663695e-14
0.35,0.5,1.0,4.0,0.0,0.0
0.35,0.5,1.5,2.5,5.312492706067514e-16,9.81025129326275e-15
0.35,0.5,1.5,4.0,5.586326244364282e-16,1.797020805375345e-14
0.35,0.5,2.5,4.0,6.516073348221217e-16,1.4975078350663695e-14
0.35,0.75,0.75,1.0,4.290347714169549e-16,1.199504173124548e-14
0.35,0.75,0.75,1.5,0.0,0.0
0.35,0.75,0.75,2.5,4.050094917194237e-16,6.582754239430107e-15
0.35,0.75,0.75,4.0,4.290347714169549e-16,1.199504173124548e-14
0.35,0.75,1.0,1.5,4.290347714169549e-16,1.199504173124548e-14
0.35,0.75,1.0,2.5,5.081745329673063e-16,1.0000340057079249e-14
0.35,0.75,1.0,4.0,0.0,0.0
0.35,0.75,1.5,2.5,4.050094917194237e-16,6.582754239430107e-15
0.35,0.75,1.5,4.0,4.290347714169549e-16,1.199504173124548e-14
0.35,0.75,2.5,4.0,5.081745329673063e-16,1.0000340057079249e-14
0.35,1.0,0.75,1.0,3.612565220307819e-16,9.003604559740863e-15
0.35,1.0,0.75,1.5,0.0,0.0
0.35,1.0,0.75,2.5,3.358071939936789e-16,4.965068306494546e-15
0.35,1.0,0.75,4.0,3.612565220307819e-16,9.003604559740863e-15
0.35,1.0,1.0,1.5,3.612565220307819e-16,9.003604559740863e-15
0.35,1.0,1.0,2.5,4.269118740547837e-16,7.509729928334256e-15
0.35,1.0,1.0,4.0,0.0,0.0
0.35,1.0,1.5,2.5,3.358071939936789e-16,4.965068306494546e-15
0.35,1.0,1.5,4.0,3.612565220307819e-16,9.003604559740863e-15
0.35,1.0,2.5,4.0,4.269118740547837e-16,7.509729928334256e-15
0.35,1.5,0.75,1.0,3.0557717585808655e-16,6.02520184126393e-15
0.35,1.5,0.75,1.5,0.0,0.0
0.35,1.5,0.75,2.5,2.806915900968563e-16,3.3800605058341075e-15
0.35,1.5,0.75,4.0,3.0557717585808655e-16,6.02520184126393e-15
0.35,1.5,1.0,1.5,3.0557717585808655e-16,6.02520184126393e-15
0.35,1.5,1.0,2.5,3.6566466929524725e-16,5.03333895229559e-15
0.35,1.5,1.0,4.0,0.0,0.0
0.35,1.5,1.5,2.5,2.806915900968563e-16,3.3800605058341075e-15
0.35,1.5,1.5,4.0,3.0557717585808655e-16,6.02520184126393e-15
0.35,1.5,2.5,4.0,3.6566466929524725e-16,5.03333895229559e-15
0.35,2.0,0.75,1.0,2.7757329666613546e-16,4.5386148174786464e-15
0.35,2.0,0.75,1.5,0.0,0.0
