condition,trial,true_rho,true_t,true_h,true_w1,true_w2,true_w3,true_alpha,true_rotation_shift,baseline_geometry_mae,baseline_weight_mae,baseline_alpha_error,baseline_fit_rmse,harmonic_geometry_mae,harmonic_weight_mae,harmonic_alpha_error,harmonic_fit_rmse,pca_geometry_mae,pca_weight_mae,pca_alpha_error,pca_fit_rmse,oracle_geometry_mae,oracle_weight_mae,oracle_alpha_error,oracle_fit_rmse
full_clean,21,0.18396352906330424,0.1782761556337222,1.423852764559558,0.09589956761017222,0.24109231759001767,0.66300811479981,1.3516014786220119,27,0.12544066209703392,0.3818132603087216,0.5949969975499998,0.012320283134832776,0.11535436030610263,0.03667168558196881,0.05066300064488094,0.020022490776168377,0.11535436030610263,0.03667168558196881,0.05066300064488094,0.020022490776168377,0.11535436030610263,0.03667168558196881,0.05066300064488094,0.020022490776168377
full_clean,22,0.06589806791237651,-0.011647324251779034,1.1925249482788791,0.15197082417788765,0.6594743095825124,0.18855486623959994,1.1119014524850146,15,0.03001191187871167,0.08529393738436486,0.002322403248328442,0.006852908075335248,0.03001191187871167,0.08529393738436486,0.002322403248328442,0.006852908075335247,0.03001191187871167,0.08529393738436486,0.002322403248328442,0.006852908075335247,0.03001191187871167,0.08529393738436486,0.002322403248328442,0.006852908075335248
full_clean,23,0.06593186912701618,0.5201896931036664,1.208937992010993,0.15057181827219765,0.18930009494293312,0.6601280867848692,1.3764086790298207,50,0.06769723735517924,0.11227783038209249,0.0015844975618009016,0.005544188994828855,0.06769723735517924,0.11227783038209249,0.0015844975618009016,0.005544188994828855,0.06769723735517924,0.11227783038209249,0.0015844975618009016,0.005544188994828855,0.06769723735517924,0.11227783038209249,0.0015844975618009016,0.005544188994828855
full_clean,24,0.0966036099077964,0.13130948647196536,1.2362004425951947,0.3595455038106527,0.6046354910940449,0.035819005095302336,0.6380754672290648,34,0.0459947187165381,0.2681479513944118,0.9043854967921602,0.0066153558607665985,0.09581522728629381,0.1587758322591008,0.005538068966209675,0.008963766116165294,0.09581522728629381,0.1587758322591008,0.005538068966209675,0.008963766116165294,0.02986859944307423,0.15340315900621163,0.0016622545694615631,0.010243393400617272
full_clean,25,0.16312816100624083,0.2197395304401418,0.9243987005708046,0.23281956573461768,0.08800508212795104,0.6791753521374313,0.9511083489386436,44,0.12811127716411197,0.28041789267437583,0.07606942419842389,0.008149094956669718,0.12811127716411197,0.28041789267437583,0.07606942419842389,0.008573775551739724,0.12811127716411197,0.28041789267437583,0.07606942419842389,0.008573775551739724,0.11830211148348091,0.1664114064974583,0.01856301749104383,0.01025938987451572
full_clean,26,0.11893491030874462,-0.0662789744885789,1.2011761429828944,0.26305054186716914,0.23445105535213062,0.5024984027807002,1.6736967033234607,2,0.04987334801009723,0.09106258603701851,0.04594243831011258,0.013438170087354508,0.04560640854436773,0.21395050350297784,1.0554059776615152,0.0152348177384443,0.04560640854436773,0.21395050350297784,1.0554059776615152,0.0152348177384443,0.04987334801009723,0.09106258603701851,0.04594243831011258,0.013438170087354508
full_clean,27,0.1863213115182268,0.6622953908022537,1.0355559892824533,0.14272170573105247,0.4060294205249795,0.45124887374396805,1.1799188119269988,23,0.10439142406355374,0.13651986547080389,0.3442973955527052,0.004481841617565392,0.10439142406355374,0.13651986547080389,0.3442973955527052,0.004481841617565392,0.10439142406355374,0.13651986547080389,0.3442973955527052,0.004481841617565392,0.05599134398038263,0.22566118755632378,0.040380592694284845,0.014600182191897237
full_clean,28,0.2096133533479906,-0.0659122399281159,0.7199191193869467,0.733294390956214,0.12959088062689228,0.13711472841689376,1.445351685257244,44,0.052847682824217035,0.07175236564475862,0.008332428653995416,0.01070339334511773,0.052847682824217035,0.07175236564475862,0.008332428653995416,0.01070339334511773,0.052847682824217035,0.07175236564475862,0.008332428653995416,0.01070339334511773,0.052847682824217035,0.07175236564475862,0.008332428653995416,0.01070339334511773
full_clean,29,0.16493249889418649,0.25964130291865484,1.3589544847185775,0.2893584559642928,0.21645437891754415,0.4941871651181631,0.7051563397220532,31,0.0377584441957613,0.30744212075534816,0.6918940688742271,0.0024352144103810033,0.0377584441957613,0.30744212075534816,0.6918940688742271,0.0024352144103810033,0.0377584441957613,0.30744212075534816,0.6918940688742271,0.0024352144103810033,0.037578938615804726,0.033864305879809375,0.0093863939150034,0.004819343493265371
full_clean,30,0.06391512149414925,-0.6795381347102889,0.8546642692846818,0.8337171956916165,0.10295180066094879,0.0633310036474347,0.7986872159677585,42,0.02574582778143535,0.2499496868779855,0.0045993257017955536,0.004092524781432917,0.02574582778143535,0.2499496868779855,0.0045993257017955536,0.004092524781432917,0.02574582778143535,0.2499496868779855,0.0045993257017955536,0.004092524781432917,0.041783954163565194,0.06155380496499766,0.0017343563129603723,0.004895422062964288
